INSERT INTO Book VALUES ('BK00001', 'Shadows of the Night 3', 'David Anderson', 'Macmillan', 70.49, 'ROMANCE', 1132);
INSERT INTO Book VALUES ('BK00002', 'The Shadow Prophecy 9', 'Isabella King', 'Bloomsbury', 66.53, 'FANTASY', 1068);
INSERT INTO Book VALUES ('BK00003', 'Fangs and Claws 4', 'Robert Brown', 'Orbit Books', 87.78, 'FANTASY', 1771);
INSERT INTO Book VALUES ('BK00004', 'Cybernetic Dreams 1', 'Emily White', 'Random House', 80.11, 'HORROR', 1549);
INSERT INTO Book VALUES ('BK00005', 'The Secret Keeper 3', 'Isabella King', 'Scholastic', 56.23, 'MYSTERY', 1008);
INSERT INTO Book VALUES ('BK00006', 'The Final Countdown 2', 'Alice Johnson', 'Doubleday', 93.48, 'FANTASY', 1331);
INSERT INTO Book VALUES ('BK00007', 'The Lost Codex 2', 'Ethan Lewis', 'Scholastic', 65.32, 'ROMANCE', 1033);
INSERT INTO Book VALUES ('BK00008', 'The Shadow Prophecy 2', 'Ava Robinson', 'Simon and Schuster', 65.79, 'SCI-FICTION', 1704);
INSERT INTO Book VALUES ('BK00009', 'The Lost Codex 4', 'Charlotte Allen', 'Tor Books', 25.21, 'MYSTERY', 1600);
INSERT INTO Book VALUES ('BK00010', 'Beyond the Horizon 4', 'David Anderson', 'Penguin Books', 59.04, 'SCI-FICTION', 1078);
INSERT INTO Book VALUES ('BK00011', 'Parallel Universes 2', 'Charlotte Allen', 'HarperCollins', 23.22, 'MYSTERY', 1997);
INSERT INTO Book VALUES ('BK00012', 'Beyond the Horizon 10', 'Ethan Lewis', 'Penguin Books', 26.79, 'HORROR', 1017);
INSERT INTO Book VALUES ('BK00013', 'Echoes of the Past 1', 'John Smith', 'Orbit Books', 39.01, 'FANTASY', 1929);
INSERT INTO Book VALUES ('BK00014', 'The Last Guardian 4', 'Robert Brown', 'Hachette', 81.42, 'THRILLER', 1960);
INSERT INTO Book VALUES ('BK00015', 'A Love Beyond Time 6', 'Charlotte Allen', 'Simon and Schuster', 65.95, 'ROMANCE', 1913);
INSERT INTO Book VALUES ('BK00016', 'The Secret Keeper 4', 'Emily White', 'Scholastic', 9.61, 'ROMANCE', 1466);
INSERT INTO Book VALUES ('BK00017', 'The Shadow Prophecy 1', 'Michael Clarke', 'Scholastic', 68.75, 'HORROR', 1940);
INSERT INTO Book VALUES ('BK00018', 'The Shadow Prophecy 2', 'Olivia Martinez', 'Scholastic', 15.07, 'THRILLER', 1856);
INSERT INTO Book VALUES ('BK00019', 'Forbidden Realms 8', 'Isabella King', 'Penguin Books', 33.01, 'ROMANCE', 1348);
INSERT INTO Book VALUES ('BK00020', 'Echoes of the Past 3', 'Mia Walker', 'Penguin Books', 40.51, 'SCI-FICTION', 1413);
INSERT INTO Book VALUES ('BK00021', 'The Secret Keeper 8', 'Olivia Martinez', 'Penguin Books', 15.56, 'FANTASY', 1492);
INSERT INTO Book VALUES ('BK00022', 'Mysteries of the Unknown 9', 'Emma Thompson', 'Avon Books', 44.49, 'MYSTERY', 1131);
INSERT INTO Book VALUES ('BK00023', 'Under the Moonlight 8', 'John Smith', 'Simon and Schuster', 16.7, 'HORROR', 1859);
INSERT INTO Book VALUES ('BK00024', 'The Enchanted Forest 3', 'Emily White', 'Doubleday', 7.37, 'FANTASY', 1680);
INSERT INTO Book VALUES ('BK00025', 'Parallel Universes 2', 'James Wilson', 'Doubleday', 7.57, 'SCI-FICTION', 1434);
INSERT INTO Book VALUES ('BK00026', 'Mysteries of the Unknown 7', 'Robert Brown', 'Vintage', 90.39, 'MYSTERY', 1929);
INSERT INTO Book VALUES ('BK00027', 'The Secret Keeper 6', 'Mia Walker', 'Bloomsbury', 63.25, 'MYSTERY', 1324);
INSERT INTO Book VALUES ('BK00028', 'Parallel Universes 10', 'Emily White', 'Penguin Books', 69.03, 'ROMANCE', 1608);
INSERT INTO Book VALUES ('BK00029', 'Cybernetic Dreams 8', 'Isabella King', 'Penguin Books', 60.75, 'MYSTERY', 1251);
INSERT INTO Book VALUES ('BK00030', 'The Lost Codex 8', 'Benjamin Scott', 'Doubleday', 74.66, 'SCI-FICTION', 1058);
INSERT INTO Book VALUES ('BK00031', 'The Last Guardian 3', 'Emily White', 'Vintage', 74.25, 'MYSTERY', 1543);
INSERT INTO Book VALUES ('BK00032', 'The Haunted Manor 3', 'Sophia Davis', 'Tor Books', 88.45, 'THRILLER', 1282);
INSERT INTO Book VALUES ('BK00033', 'The Enchanted Forest 4', 'Ava Robinson', 'Orbit Books', 50.57, 'SCI-FICTION', 1689);
INSERT INTO Book VALUES ('BK00034', 'The Lost Codex 6', 'Mia Walker', 'Macmillan', 60.67, 'FANTASY', 1071);
INSERT INTO Book VALUES ('BK00035', 'The Enchanted Forest 7', 'Michael Clarke', 'Penguin Books', 77.73, 'SCI-FICTION', 1765);
INSERT INTO Book VALUES ('BK00036', 'Under the Moonlight 5', 'Amelia Baker', 'Scholastic', 35.15, 'THRILLER', 1501);
INSERT INTO Book VALUES ('BK00037', 'Galactic Odyssey 5', 'Alice Johnson', 'Orbit Books', 91.53, 'THRILLER', 1925);
INSERT INTO Book VALUES ('BK00038', 'Mysteries of the Unknown 7', 'Emily White', 'Macmillan', 79.65, 'HORROR', 1220);
INSERT INTO Book VALUES ('BK00039', 'The Final Countdown 9', 'James Wilson', 'Simon and Schuster', 30.78, 'THRILLER', 1949);
INSERT INTO Book VALUES ('BK00040', 'The Enchanted Forest 1', 'William Harris', 'Tor Books', 8.62, 'HORROR', 1751);
INSERT INTO Book VALUES ('BK00041', 'A Love Beyond Time 3', 'Ava Robinson', 'Hachette', 5.63, 'THRILLER', 1766);
INSERT INTO Book VALUES ('BK00042', 'A Love Beyond Time 9', 'Robert Brown', 'Hachette', 27.25, 'HORROR', 1888);
INSERT INTO Book VALUES ('BK00043', 'A Love Beyond Time 9', 'David Anderson', 'Hachette', 18.67, 'HORROR', 1696);
INSERT INTO Book VALUES ('BK00044', 'Parallel Universes 8', 'David Anderson', 'Orbit Books', 26.42, 'THRILLER', 1134);
INSERT INTO Book VALUES ('BK00045', 'Galactic Odyssey 1', 'James Wilson', 'Vintage', 87.34, 'HORROR', 1841);
INSERT INTO Book VALUES ('BK00046', 'The Lost Codex 1', 'Benjamin Scott', 'Avon Books', 29.97, 'HORROR', 1555);
INSERT INTO Book VALUES ('BK00047', 'Fangs and Claws 7', 'Robert Brown', 'Penguin Books', 82.51, 'SCI-FICTION', 1167);
INSERT INTO Book VALUES ('BK00048', 'A Love Beyond Time 5', 'Emma Thompson', 'Hachette', 77.46, 'ROMANCE', 1450);
INSERT INTO Book VALUES ('BK00049', 'The Shadow Prophecy 8', 'William Harris', 'HarperCollins', 86.93, 'THRILLER', 1721);
INSERT INTO Book VALUES ('BK00050', 'The Secret Keeper 6', 'Amelia Baker', 'Tor Books', 53.59, 'THRILLER', 1946);
INSERT INTO Book VALUES ('BK00051', 'Cybernetic Dreams 2', 'Sophia Davis', 'Random House', 15.55, 'MYSTERY', 1928);
INSERT INTO Book VALUES ('BK00052', 'Echoes of the Past 4', 'Sophia Davis', 'Macmillan', 37.79, 'FANTASY', 1798);
INSERT INTO Book VALUES ('BK00053', 'The Last Guardian 9', 'Mia Walker', 'HarperCollins', 74.49, 'MYSTERY', 1179);
INSERT INTO Book VALUES ('BK00054', 'The Enchanted Forest 9', 'David Anderson', 'Crown Publishing', 48.45, 'HORROR', 1964);
INSERT INTO Book VALUES ('BK00055', 'Galactic Odyssey 1', 'Benjamin Scott', 'Macmillan', 57.21, 'HORROR', 1655);
